trained_lineage,trained_fake,test_gen,test_lineage,seen,auc,ap,acc
celeba,stargan,attgan,celeba,0,0.6327,0.6504,0.5
celeba,stargan,gdwct,celeba,0,0.6346,0.6194,0.5
celeba,stargan,stargan,celeba,1,1.0,1.0,0.9988
celeba,stargan,stylegan2,ffhq,0,0.506,0.5002,0.5
celeba,stargan,stylegan3,ffhq,0,0.4904,0.4862,0.5
celeba,attgan,attgan,celeba,1,1.0,1.0,0.9988
celeba,attgan,gdwct,celeba,0,0.8941,0.9029,0.52
celeba,attgan,stargan,celeba,0,1.0,1.0,1.0
celeba,attgan,stylegan2,ffhq,0,0.4559,0.4589,0.4738
celeba,attgan,stylegan3,ffhq,0,0.4627,0.4757,0.4925
celeba,gdwct,attgan,celeba,0,0.9985,0.9986,0.6412
celeba,gdwct,gdwct,celeba,1,1.0,1.0,0.9988
celeba,gdwct,stargan,celeba,0,1.0,1.0,0.9163
celeba,gdwct,stylegan2,ffhq,0,0.4662,0.4775,0.5
celeba,gdwct,stylegan3,ffhq,0,0.4715,0.4784,0.5
ffhq,stylegan2,attgan,celeba,0,0.5242,0.5298,0.5025
ffhq,stylegan2,gdwct,celeba,0,0.4228,0.4326,0.4963
ffhq,stylegan2,stargan,celeba,0,0.5113,0.4874,0.4963
ffhq,stylegan2,stylegan2,ffhq,1,0.9612,0.9664,0.9125
ffhq,stylegan2,stylegan3,ffhq,0,0.7874,0.8202,0.73
ffhq,stylegan3,attgan,celeba,0,0.5131,0.5072,0.5012
ffhq,stylegan3,gdwct,celeba,0,0.4433,0.4544,0.4975
ffhq,stylegan3,stargan,celeba,0,0.5304,0.4783,0.495
ffhq,stylegan3,stylegan2,ffhq,0,0.7258,0.7457,0.68
ffhq,stylegan3,stylegan3,ffhq,1,0.7974,0.8167,0.7288
